Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	TL
670	-22119.1	-22042.3	-76.8638	1.22811	0.556884	0.777662	1.28976	0.943477	0.282593	0.993309	0.00327155	1.04334	0.158846	0.42897	0.00245608	0.358963	0.0247426	0.138375	0.378125	0.606419	0.066492	0.355612	0.709995	0.438885	10.7863
680	-22123.4	-22048.4	-74.9591	1.28569	0.675682	0.574911	1.22966	0.717676	0.249862	0.961118	0.005168	1.02808	0.201092	0.463116	0.0023545	0.502557	0.0918234	0.127261	0.609657	0.510709	0.235353	0.227368	0.509126	0.387543	10.5958
690	-22120	-22043	-76.977	1.19065	0.652509	0.680694	1.38886	0.973871	0.285767	0.866644	0.00562466	0.967145	0.148178	0.445334	0.000106319	0.262409	0.18024	0.15737	0.552518	0.560529	0.114643	0.380143	0.586651	0.397719	10.7976
700	-22121	-22048.4	-72.5874	1.27799	0.484291	0.680694	1.063	0.9162	0.282654	1.07702	0.00375607	0.885274	0.201164	0.410163	0.00138437	0.372196	0.150933	0.198644	0.427162	0.585114	0.0311582	0.380143	0.561605	0.368097	10.3586
710	-22123.1	-22047.8	-75.2659	1.17641	0.558013	0.689127	1.27296	0.867016	0.344797	0.811523	0.00589072	0.927228	0.189219	0.48702	0.00338746	0.43793	0.199766	0.239818	0.473382	0.609228	0.0584248	0.293592	0.609745	0.372011	10.6265
720	-22123.5	-22046.6	-76.8187	1.10942	0.68164	0.581293	1.27296	0.986182	0.255501	0.994593	9.95071e-05	0.859522	0.156384	0.51576	0.00532604	0.246158	0.183847	0.263057	0.585643	0.757713	0.0588966	0.286784	0.587841	0.393147	10.7818
730	-22121.9	-22050.2	-71.7364	1.2325	0.604035	0.693142	1.16157	0.986182	0.262059	0.810383	0.00385695	0.819738	0.167787	0.497861	0.00381273	0.440869	0.13125	0.0683148	0.354541	0.598554	0.144966	0.200695	0.676167	0.41526	10.2735
740	-22122.1	-22049.5	-72.5036	1.21693	0.616246	0.581532	1.08882	0.985122	0.265025	0.877198	0.00419511	1.01083	0.212259	0.379572	0.00486309	0.363863	0.200017	0.14526	0.4008	0.564514	0.0560238	0.337317	0.684969	0.354901	10.3503
750	-22123.7	-22044.1	-79.6011	1.25709	0.615268	0.655869	1.31753	0.941007	0.377392	1.18274	0.00238837	1.01083	0.209345	0.387192	0.00361386	0.405558	0.194808	0.150142	0.425815	0.716658	0.0203789	0.142704	0.672569	0.371112	11.06
760	-22124	-22050.3	-73.6951	1.26984	0.533759	0.701526	1.14799	1.02912	0.29112	0.92334	0.0026869	0.79714	0.186348	0.409904	0.00491156	0.331673	0.318529	0.129661	0.557738	0.682229	0.0800069	0.147207	0.571133	0.353556	10.4694
770	-22120.8	-22045	-75.8092	1.10418	0.587886	0.565591	1.35602	0.94212	0.237503	0.977753	0.000409454	0.989783	0.139334	0.370672	0.00364151	0.367728	0.230451	0.108801	0.478125	0.716709	0.10489	0.223663	0.729937	0.445619	10.6808
780	-22121.2	-22046.4	-74.7701	1.24224	0.700736	0.65705	1.1527	0.921786	0.279202	0.775446	0.00134617	0.756833	0.118256	0.39575	0.00541894	0.40824	0.367093	0.213722	0.429616	0.64679	0.126135	0.216204	0.685166	0.477183	10.5769
790	-22126.1	-22048.3	-77.8053	1.12542	0.486584	0.594514	1.40091	0.913666	0.256006	1.01923	0.000310029	1.00587	0.182611	0.410199	0.00654384	0.480904	0.510364	0.152262	0.455489	0.633248	0.126135	0.100086	0.642832	0.37726	10.8804
800	-22127	-22052.5	-74.4984	0.919532	0.607372	0.656961	1.34805	0.798691	0.262532	0.993759	0.0014279	0.899772	0.183545	0.524388	0.00157587	0.327083	0.498544	0.0647304	0.413828	0.708141	0.191288	0.0732739	0.653727	0.421513	10.5497
810	-22122.8	-22044.7	-78.1129	1.24655	0.766569	0.546879	1.23897	0.992895	0.297276	0.942908	0.00269322	0.900227	0.131405	0.397451	0.00171545	0.23349	0.358153	0.0586799	0.40052	0.726459	0.195896	0.317768	0.684158	0.470531	10.9112
820	-22124	-22045.7	-78.306	1.28351	0.558067	0.782179	1.34842	0.925609	0.282732	0.773411	0.00723188	0.958128	0.120759	0.470195	0.00142566	0.328976	0.278469	0.0510131	0.508556	0.581698	0.233916	0.174155	0.811194	0.450848	10.9305
830	-22117.9	-22045.2	-72.6967	1.19288	0.514872	0.635507	1.30538	0.889053	0.296192	0.769342	0.00457864	0.867311	0.186967	0.385632	0.00323231	0.428642	0.373373	0.0939868	0.43692	0.601059	0.129737	0.0907233	0.750517	0.413664	10.3696
840	-22120.9	-22047.2	-73.7146	1.13759	0.61735	0.470198	1.27971	0.786679	0.247793	0.836037	0.00305604	0.967503	0.17074	0.477075	0.00267776	0.428642	0.287689	0.0925857	0.542929	0.626966	0.155065	0.251534	0.683803	0.405739	10.4714
850	-22119.2	-22043.9	-75.3364	1.19153	0.628077	0.553116	1.23863	0.900954	0.387445	0.914059	0.00234263	0.828727	0.173406	0.363265	0.00250344	0.321731	0.2575	0.131239	0.571836	0.689435	0.136137	0.19408	0.733886	0.413638	10.6335
860	-22117.7	-22043.5	-74.2197	1.08555	0.603116	0.688369	1.20034	0.93071	0.270222	0.940247	0.0029708	0.833317	0.197668	0.447615	0.00413537	0.413383	0.396039	0.0875938	0.46924	0.606929	0.271731	0.0694549	0.593723	0.409509	10.5219
870	-22123.7	-22049.1	-74.5404	1.11765	0.586005	0.537902	1.11508	0.979431	0.344549	0.979222	0.005088	0.990239	0.180838	0.423002	0.00413537	0.349925	0.416415	0.0711477	0.555936	0.655198	0.0552539	0.161926	0.643442	0.381555	10.5539
880	-22118.9	-22042.3	-76.6557	1.10501	0.65584	0.615641	1.30152	1.08889	0.301049	0.899498	0.00131151	1.05493	0.172589	0.412333	0.00237824	0.411763	0.447423	0.190421	0.400832	0.595008	0.101733	0.0815634	0.492108	0.433636	10.7655
890	-22122.9	-22047.8	-75.0981	1.20799	0.619465	0.900835	1.15734	0.780255	0.237402	0.899498	0.00290788	0.993556	0.156629	0.47017	0.00200422	0.389668	0.396953	0.107547	0.574338	0.508768	0.0183969	0.0823285	0.684556	0.419095	10.6097
900	-22128.5	-22052.7	-75.732	1.32514	0.58262	0.548007	1.4612	0.708425	0.280421	1.11405	0.00879705	0.855673	0.160092	0.481708	0.000478211	0.366575	0.382074	0.133502	0.392529	0.701041	0.0790089	0.0984818	0.552904	0.440382	10.6731
910	-22126.1	-22051.2	-74.8818	1.18119	0.517527	0.688576	1.30984	0.928873	0.237374	1.19439	0.00746586	0.956733	0.145793	0.404054	0.00157073	0.372383	0.3091	0.287941	0.451764	0.457622	0.232828	0.0659846	0.419069	0.417997	10.5881
920	-22124.6	-22048.6	-76.0361	1.35737	0.590931	0.675628	1.25986	0.796403	0.359869	1.01076	4.78227e-05	0.799034	0.147408	0.364592	0.00388032	0.439559	0.163003	0.272218	0.42751	0.714118	0.188873	0.105007	0.532052	0.495383	10.7035
930	-22122	-22045.9	-76.0036	1.05543	0.649302	0.583517	1.43726	0.972557	0.325751	0.913162	0.0019788	0.937374	0.124833	0.372269	0.00198576	0.424308	0.205881	0.272218	0.422975	0.727261	0.120155	0.154042	0.518732	0.479269	10.7003
940	-22124.6	-22049	-75.5746	1.09519	0.526011	0.651541	1.10344	0.923299	0.257503	0.914949	0.001053	1.12047	0.159897	0.448058	0.00132387	0.250163	0.231443	0.0832059	0.626316	0.66227	0.0985734	0.342103	0.70194	0.458596	10.6574
950	-22119.9	-22043.7	-76.1386	1.29125	0.544673	0.762128	1.31536	0.805951	0.313711	0.80988	0.00117474	0.913581	0.101073	0.429371	0.00343289	0.449824	0.238691	0.184634	0.466972	0.715698	0.148818	0.108182	0.617335	0.492019	10.7138
960	-22129.3	-22050.2	-79.0439	1.18817	0.499511	0.686237	1.66711	0.953314	0.265748	1.01458	0.00966402	0.851892	0.1229	0.404032	0.000133324	0.508686	0.104226	0.11861	0.513978	0.657388	0.149944	0.228504	0.616984	0.442681	11.0043
