Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	TL
73	-22051.5	-21977.2	-74.3461	1.3244	0.647887	0.758455	1.21358	0.911204	0.251185	0.790857	0.00134818	0.916953	0.153837	0.523344	0.0027251	0.539989	0.442817	0.478373	0.00427033	0.469514	0.60634	0.123801	0.0395255	0.334101	10.5345
74	-22048.5	-21975.4	-73.0588	1.04583	0.6743	0.596691	1.21502	0.866173	0.285861	1.1075	0.00155047	0.908647	0.217809	0.411501	0.00334606	0.539345	0.328633	0.375716	0.0019185	0.377394	0.555907	0.275324	0.17487	0.442436	10.4058
75	-22050	-21976	-74.0614	1.11714	0.608282	0.693134	1.28348	0.970732	0.312685	0.910906	0.0033201	0.903664	0.209114	0.451261	0.000342952	0.478113	0.328633	0.384096	0.0127974	0.466532	0.694406	0.30487	0.0734028	0.299124	10.506
76	-22049.7	-21974	-75.6818	1.25648	0.618758	0.647302	1.2146	0.87474	0.256102	1.05566	0.0033201	0.976261	0.193238	0.416624	0.00560744	0.473143	0.241681	0.401042	0.0492011	0.519281	0.488113	0.347269	0.158087	0.471578	10.6681
77	-22055.8	-21981.7	-74.0257	1.16531	0.588092	0.724745	1.20849	0.998861	0.280973	0.951093	0.000356648	1.14305	0.198636	0.407032	0.00398237	0.456433	0.204338	0.41021	0.223121	0.392024	0.384112	0.277099	0.12762	0.356886	10.5025
78	-22052.3	-21977.9	-74.4376	1.25264	0.503781	0.571899	1.1946	1.12286	0.240197	0.976289	0.00185873	1.01442	0.202228	0.486556	0.00231769	0.68332	0.243125	0.392226	0.11388	0.463659	0.400734	0.201801	0.0921824	0.383085	10.5437
79	-22047.1	-21973	-74.0674	1.33182	0.567055	0.703394	1.1217	0.784188	0.322164	0.997699	0.000624049	0.852804	0.181496	0.444335	0.00478277	0.642579	0.189186	0.456454	0.0415238	0.527256	0.592908	0.189769	0.200941	0.353956	10.5066
80	-22052.7	-21980.5	-72.251	0.984088	0.64736	0.728515	1.16381	0.849932	0.279599	0.87823	0.00455857	0.918082	0.134672	0.469436	0.00244159	0.631274	0.249649	0.432469	0.118686	0.529628	0.629383	0.0239214	0.250013	0.399254	10.325
81	-22047.9	-21974.4	-73.5386	1.2771	0.511937	0.750282	1.15696	0.790097	0.251217	0.989455	0.00129204	0.982538	0.225065	0.461503	0.00383486	0.621896	0.214561	0.36512	0.068852	0.549	0.622443	0.143174	0.214358	0.253075	10.4538
82	-22046.2	-21972.6	-73.6226	1.24794	0.595096	0.635081	1.2912	0.904958	0.307112	0.867521	0.000217961	0.905633	0.174609	0.474794	0.00167706	0.531068	0.363716	0.437904	0.150639	0.512313	0.557102	0.0610735	0.156668	0.285837	10.4622
83	-22046.8	-21971.4	-75.4165	1.14801	0.661881	0.628557	1.17448	0.962343	0.231402	0.85309	0.00261719	1.00068	0.186335	0.472647	0.0039455	0.662755	0.469217	0.425943	0.0536852	0.519654	0.617627	0.0993548	0.0744066	0.392927	10.6416
84	-22058.5	-21982.1	-76.3432	1.26739	0.729639	0.598812	1.06363	1.01123	0.240861	0.948359	0.0042177	1.1115	0.170629	0.517952	0.000932529	0.447656	0.285584	0.443191	0.0742137	0.371197	0.682095	0.215921	0.0550207	0.494196	10.7342
85	-22049.8	-21975.3	-74.5067	1.20889	0.621373	0.623546	1.45816	0.847062	0.272838	0.997672	0.00409912	0.839078	0.190666	0.396706	0.00165135	0.508874	0.285584	0.385775	0.0729157	0.515232	0.533574	0.373726	0.0333878	0.379753	10.5506
86	-22051.8	-21977.1	-74.7512	1.18194	0.551613	0.612872	1.40214	0.956289	0.238766	1.10585	0.00053271	0.800673	0.14896	0.429022	0.00526515	0.430394	0.125702	0.438604	0.0928478	0.55703	0.541659	0.436177	0.12882	0.389855	10.575
87	-22048.7	-21976.1	-72.6139	1.36187	0.596423	0.760021	1.14334	0.865603	0.345206	0.819813	0.000644318	0.882135	0.159042	0.358314	0.00460962	0.572848	0.168171	0.430721	0.098749	0.454882	0.49121	0.280638	0.255897	0.311147	10.3613
88	-22055.7	-21982.6	-73.1284	1.25824	0.580053	0.684793	1.48718	0.857286	0.336193	0.787072	0.00597863	0.977292	0.180719	0.488795	0.000341959	0.568804	0.14117	0.448048	0.0224211	0.40323	0.52231	0.167539	0.167124	0.32815	10.4127
89	-22046.9	-21975	-71.9567	1.28059	0.626647	0.60392	1.30819	0.953134	0.332647	0.961388	0.000834063	0.789332	0.161526	0.336908	0.00263793	0.627094	0.213741	0.395444	0.111975	0.475476	0.623187	0.0521921	0.096169	0.342541	10.2956
90	-22051.1	-21977.2	-73.8589	1.00545	0.637677	0.613484	1.34326	0.982423	0.316378	0.689485	0.00295796	0.98233	0.171166	0.423134	0.00173876	0.752038	0.346197	0.402764	0.110996	0.412128	0.674325	0.0889393	0.0464032	0.482516	10.4858
91	-22048.9	-21974.3	-74.5903	1.00911	0.572956	0.689674	1.33411	0.954815	0.304891	0.881762	0.00295796	0.881431	0.168203	0.368401	0.00377043	0.636201	0.539668	0.431201	0.0536367	0.459668	0.642693	0.0988741	0.196142	0.328764	10.5589
92	-22049.8	-21975.9	-73.9527	1.26835	0.572956	0.69933	1.19793	0.880277	0.293584	0.945287	0.00506657	0.762379	0.161303	0.360266	0.00182744	0.569006	0.43023	0.413135	0.120404	0.44239	0.613422	0.169403	0.238588	0.350042	10.4952
93	-22052.9	-21981	-71.835	1.06166	0.590645	0.667008	1.23861	1.01741	0.293794	0.954829	0.000505577	0.929075	0.199266	0.439109	0.00102486	0.757276	0.238983	0.348703	0.0752691	0.360106	0.585685	0.0104157	0.140158	0.373864	10.2834
94	-22048	-21977.2	-70.7995	1.19721	0.680576	0.585399	1.04682	0.915463	0.263217	0.918326	0.00292654	0.954726	0.160278	0.382277	0.000874527	0.751856	0.261055	0.414248	0.0930238	0.4163	0.516287	0.0652883	0.24546	0.30824	10.1799
95	-22048.4	-21975.2	-73.1511	1.19721	0.719154	0.512714	1.20483	0.807829	0.293934	0.968989	0.000656869	0.878005	0.241402	0.514743	0.00454385	0.593601	0.254672	0.354942	0.117162	0.537824	0.647871	0.11038	0.0987823	0.355758	10.415
